id,firstname,lastname,dob,gender,ssn,class,section,classroom,specialization
328,Cherey,Harvard,2007/03/11,F,201409590468047,4,FR,Puce,Blue
329,Wallis,Daniele,2019/04/17,M,3544752373733826,4,CZ,Orange,Fuscia
330,Marshal,Champerlen,2006/07/23,M,3558246301516968,4,JP,Aquamarine,Violet
331,Frederique,Guillard,2018/09/02,F,3575933401798153,2,RU,Red,Violet
332,Roby,Pidgeley,2009/09/09,F,4017956209199518,1,ID,Pink,Khaki
333,Brigitta,Wisam,2013/03/17,F,560224986832262672,4,CN,Red,Teal
334,Griff,Bellard,2011/10/03,M,3562370656577336,4,BR,Mauv,Yellow
335,Sutherlan,Duthie,2003/04/08,M,50386149507054462,4,MA,Aquamarine,Fuscia
336,Clari,Mackness,2005/02/18,F,6331105531338246,1,FR,Red,Violet
337,Artie,Ianetti,2006/03/09,M,3551187663272757,2,CN,Turquoise,Fuscia
338,Ronald,Francais,2012/01/24,M,374283459857132,3,MW,Goldenrod,Orange
339,Kerwin,Conneely,2018/04/07,M,50181167633331379,5,CN,Goldenrod,Blue
340,Darcee,Hurren,2010/02/25,F,374622915750151,3,NO,Turquoise,Yellow
341,Abbye,Fere,2006/04/17,F,6334298668603755291,1,ID,Yellow,Blue
342,Felecia,Hoffmann,2017/03/22,F,36035432431017,3,YE,Mauv,Green
343,Jillie,Summerton,2012/01/09,F,5602222764681018520,3,PT,Turquoise,Puce
344,Stafford,Zupone,2020/10/14,M,501822547340197824,1,PL,Purple,Maroon
345,Sanson,Camis,2019/08/19,M,4026821776081151,5,PL,Orange,Aquamarine
346,Jonie,Huggins,2003/10/23,F,3549569692217199,3,CN,Aquamarine,Maroon
347,Edmon,Burgoyne,2013/02/16,M,67714116167351220,4,BR,Goldenrod,Aquamarine
348,Theodora,Nimmo,2013/06/14,F,3567356100595722,3,CN,Blue,Yellow
349,Siward,Irvin,2011/11/05,M,341028234245842,5,CN,Teal,Green
350,Chet,Braferton,2015/12/01,M,3580189123189782,1,CN,Khaki,Pink
351,Hillier,Ulrik,2003/06/28,M,3564765472317544,4,ID,Indigo,Pink
352,Ilsa,Slaughter,2007/04/04,F,3546930516867333,2,GL,Teal,Fuscia
353,Elonore,Biasetti,2007/03/28,F,372164576210730,4,CN,Mauv,Pink
354,Shermie,Kristof,2006/07/23,M,5506899117327265,2,CN,Teal,Orange
355,Gunther,Fetherby,2003/04/17,M,5610886596397680,2,CN,Fuscia,Khaki
356,Alair,McFfaden,2007/07/25,M,5602237089139352179,4,CN,Khaki,Goldenrod
357,Linnie,Poyser,2006/08/12,F,501861965751510701,4,KE,Yellow,Pink
358,Christophe,Jebb,2010/08/26,M,3562962173991311,5,JP,Khaki,Aquamarine
359,Gerek,Sherar,2015/04/08,M,3567283389224503,3,KP,Orange,Purple
360,Romonda,McKmurrie,2012/03/08,F,3571752168875796,2,CN,Red,Violet
361,Dorothee,Kuschel,2018/09/11,F,3559992547245958,1,CN,Aquamarine,Aquamarine
362,Briney,Everitt,2009/02/20,F,503880987347493534,5,RU,Fuscia,Red
363,Kaela,Lucchi,2015/01/29,F,5602255203559407,3,RU,Yellow,Red
364,Beau,Scandroot,2006/10/07,M,4041599984540462,2,SD,Blue,Aquamarine
365,Ranique,Brocklesby,2012/06/02,F,3570979892459131,2,PH,Teal,Puce
366,Clim,Syalvester,2003/11/10,M,6334331752074420,2,ID,Yellow,Mauv
367,Jackie,Algate,2004/11/03,M,6392887534509750,3,MG,Aquamarine,Orange
368,Ernaline,Paaso,2009/01/09,F,5610493388213586765,4,CM,Indigo,Khaki
369,Antonietta,Fontin,2008/01/03,F,3553930547456080,2,CN,Purple,Maroon
370,Pepi,Tunder,2004/07/17,F,3549013305921400,2,PT,Orange,Mauv
371,Ginger,Plackstone,2019/08/10,M,3553941561585662,3,ID,Mauv,Crimson
372,Raynard,Adolfsen,2017/10/31,M,560223836665268497,3,MA,Puce,Blue
373,Izak,Werrilow,2009/02/06,M,3567259311971486,4,AR,Crimson,Khaki
374,Lenna,Hare,2020/06/25,F,5496139300971492,2,ID,Teal,Blue
375,Sibyl,Calton,2017/02/23,F,374622545283748,4,JP,Aquamarine,Red
376,Jasper,Joscelin,2019/06/20,M,4905979152183841164,1,CN,Crimson,Khaki
377,Verna,Teal,2016/05/19,F,561003416503307601,5,US,Pink,Goldenrod
378,Nessie,Tomovic,2006/07/18,F,6393933977001332,5,PL,Maroon,Pink
379,Basile,Chrishop,2016/03/29,M,3578835566799701,1,RU,Violet,Goldenrod
380,Brina,Hartrick,2003/09/28,F,675968106989236413,3,FR,Green,Turquoise
381,Crista,Algate,2019/11/30,F,6759328052491513124,3,KZ,Indigo,Maroon
382,Lebbie,Elmer,2018/07/19,F,560221292490705075,4,CR,Aquamarine,Khaki
383,Kai,Rosson,2017/05/21,F,5100170604599851,1,RU,Red,Indigo
384,Mariette,Doche,2008/06/25,F,67097450608634705,4,UA,Blue,Maroon
385,Laureen,Bourner,2003/08/20,F,5602242716514491,2,CN,Crimson,Turquoise
386,Muffin,Fordham,2009/08/10,M,3589130256369628,4,CN,Pink,Puce
387,Renelle,De Coursey,2009/01/19,F,5010122827755629,3,MY,Orange,Goldenrod
388,Julienne,Sharplin,2017/09/03,F,676335341600859475,5,BR,Purple,Blue
389,Karine,Forseith,2010/05/25,F,3530444715121144,1,CN,Fuscia,Blue
390,Vinny,Sainsberry,2008/02/22,M,5506648271766754,2,CN,Green,Red
391,Cathy,Kunz,2020/06/06,F,6334317847330000,4,CZ,Teal,Green
392,Jojo,Sicely,2003/05/17,F,67091714842706629,4,UA,Teal,Purple
393,Nora,Jackalin,2009/08/07,F,5545431900845296,1,BG,Indigo,Pink
394,Garrard,Valerio,2015/04/01,M,3548402515926898,4,NL,Blue,Green
395,Marco,Fronek,2016/08/16,M,3566696647328462,2,VN,Goldenrod,Goldenrod
396,Rickey,McLeoid,2020/06/13,M,3551430939528580,5,MN,Crimson,Red
397,Amerigo,Wilkison,2014/12/10,M,3571488721473551,5,CN,Maroon,Mauv
398,Othilie,Bern,2019/09/13,F,5503895792343729,2,DK,Mauv,Pink
399,Doyle,Kwietek,2005/08/26,M,374283009678095,3,YE,Purple,Orange
400,Vito,Azemar,2016/01/09,M,3559171089017980,4,ID,Mauv,Fuscia
401,Jyoti,Le Blond,2003/05/05,F,3556285110408993,2,ID,Fuscia,Aquamarine
402,Fawnia,Heavyside,2019/06/12,F,374622584003783,4,CN,Violet,Pink
403,Valentine,Bawcock,2017/01/26,F,5048372510437623,1,US,Orange,Crimson
404,Humbert,Rebeiro,2006/01/23,M,3544596911894743,4,RU,Crimson,Khaki
405,Neysa,Persich,2006/09/14,F,67623913175262567,2,CN,Teal,Puce
406,Rochette,Siebert,2016/07/09,F,3554061413311214,3,CN,Aquamarine,Maroon
407,Chicky,O'Fogerty,2013/11/17,M,3558397461208720,3,PS,Violet,Fuscia
408,Udale,Greenhowe,2003/05/19,M,6759469818328822,3,BR,Teal,Crimson
409,Roxane,Peddel,2005/04/14,F,372301290281007,2,CN,Teal,Goldenrod
410,Evangelina,De Matteis,2019/03/20,F,201543827230521,3,CZ,Blue,Turquoise
411,Nilson,Heed,2003/05/15,M,337941856296891,3,CN,Orange,Fuscia
412,Cariotta,Sim,2014/10/22,F,3544933213244782,2,RS,Indigo,Blue
413,Beret,Butt,2005/08/08,F,6333368066402222331,3,ID,Crimson,Green
414,Melvin,Coenraets,2009/03/14,M,5602249914675222,2,RU,Purple,Goldenrod
415,Barr,Consterdine,2020/04/30,M,3568804561949226,3,SI,Turquoise,Pink
416,Vin,Bernasek,2009/10/26,M,3561234879999670,3,CN,Violet,Blue
417,Jonas,Vardy,2005/05/22,M,3577707907270083,5,AF,Yellow,Blue
418,Elbert,Koppeck,2019/10/15,M,675940311072591160,4,IS,Goldenrod,Orange
419,Leodora,Beddin,2011/06/22,F,3538130637039652,5,TJ,Puce,Violet
420,Gannon,Meletti,2015/03/08,M,56104734359202570,2,RU,Khaki,Mauv
421,Stanfield,Penhalurick,2006/05/20,M,4508677196280477,5,SY,Turquoise,Maroon
422,Abraham,Lapides,2017/07/24,M,3572718904485413,1,US,Blue,Crimson
423,Erna,Charlo,2003/02/21,F,201514748714679,5,CZ,Green,Pink
424,Siward,Lundon,2010/02/08,M,3570845336277860,4,CN,Khaki,Indigo
425,Haily,Kewley,2011/10/27,M,56022247680183558,4,NE,Teal,Maroon
426,Karlee,O'Mailey,2014/08/04,F,3548259352587963,3,ID,Red,Fuscia
427,Jehu,Marritt,2017/05/21,M,4026903300135818,5,IL,Mauv,Indigo
428,Malory,Blazewicz,2019/06/04,F,3532898283296521,1,CN,Violet,Turquoise
429,Loreen,Frostick,2010/01/29,F,4911987467424097,4,NO,Mauv,Orange
430,Elsi,Gasken,2019/12/29,F,3552283033023829,4,BR,Red,Purple
431,Weber,Reiach,2006/06/09,M,4017953471321102,5,UA,Khaki,Purple
432,Shanda,Horsey,2013/07/09,F,3535238311964534,2,PL,Violet,Maroon
433,Selma,Conichie,2017/11/24,F,56022558226608449,5,RU,Orange,Yellow
434,Eustace,Osgar,2004/03/23,M,3577607921590393,4,RU,Khaki,Green
435,Cahra,Newarte,2008/01/17,F,3575342651228079,2,TH,Maroon,Maroon
436,Cornie,Gabbett,2015/08/09,F,30227983763395,5,CN,Blue,Red
437,Teirtza,Aldins,2009/04/10,F,6759761586397223,3,BR,Khaki,Orange
438,Eberhard,Enever,2011/06/14,M,4903266657539356,1,DE,Turquoise,Orange
439,Agnesse,Veschambre,2007/03/05,F,5100149891029228,4,ID,Turquoise,Green
440,Dani,Dingle,2004/04/14,M,374283934369760,3,PT,Crimson,Green
441,Barnabe,Varty,2013/02/11,M,3535002549201048,2,BR,Red,Teal
442,Valera,Teaz,2009/09/24,F,50189898506522031,1,PH,Mauv,Pink
443,Lazarus,Deniset,2005/06/29,M,3534689664939856,2,MD,Aquamarine,Fuscia
444,Valaree,Rack,2005/03/22,F,4175009851022303,4,AR,Purple,Fuscia
445,Diannne,Bescoby,2009/07/19,F,3578924540646525,2,BG,Purple,Blue
446,Alain,Blindt,2016/07/04,M,5452463116853419,3,CN,Turquoise,Mauv
447,Cristie,Buckle,2011/08/27,F,589344964673649202,5,CO,Khaki,Blue
448,William,Foulger,2019/07/24,M,3540368717608899,5,RU,Aquamarine,Violet
449,Dyana,Walles,2019/11/30,F,4041373539496731,4,LY,Blue,Fuscia
450,Michel,Buglass,2009/12/09,M,3543316886096542,5,CN,Aquamarine,Pink
451,Velma,Stock,2004/11/08,F,5010126893271262,5,GH,Goldenrod,Fuscia
452,Brianna,Couche,2012/06/24,F,4911018599425065,1,PT,Red,Puce
453,Gwenette,Screwton,2009/04/17,F,5010124992909163,5,CN,Violet,Khaki
454,Ephrem,Kienzle,2013/05/22,M,4017956587410610,2,UA,Purple,Pink
455,Mac,Sallowaye,2020/03/19,M,3546814427010128,5,MG,Goldenrod,Orange
456,Ralina,Tunnock,2012/03/06,F,589391356673907668,1,TH,Violet,Green
457,Nevsa,Halwill,2011/10/01,F,5100179540080769,3,CN,Violet,Orange
458,Daren,Andrysek,2009/09/23,M,6706896636334752,1,MX,Khaki,Maroon
459,Benny,Clapison,2011/06/15,M,3539097171396583,3,CN,Green,Fuscia
460,Hermia,Wetwood,2014/02/08,F,3571469608443636,5,MA,Violet,Orange
461,Tully,Giddy,2010/03/06,M,6334298889562799241,5,HT,Maroon,Green
462,Lavina,Carlone,2014/05/02,F,3543061538275397,5,AR,Puce,Violet
463,Gunar,Peake,2017/01/28,M,3537192192307073,5,CN,Maroon,Pink
464,Merrel,De'Vere - Hunt,2016/06/10,M,3546019841256576,5,GT,Aquamarine,Maroon
465,Bevvy,Malcher,2016/01/17,F,201986350407570,4,PL,Aquamarine,Indigo
466,Nanni,Kubacki,2007/11/20,F,3589992496639106,1,CN,Orange,Blue
467,Roseline,Rentz,2020/03/28,F,4026858719111315,4,RS,Maroon,Pink
468,Giulio,Lakes,2016/04/15,M,6304919109776360,4,CN,Violet,Turquoise
469,Ely,Petera,2013/08/19,M,30149062264048,2,CA,Purple,Crimson
470,Cortney,Beetham,2008/09/26,F,5155203030340022,1,CO,Purple,Orange
471,Marcello,Calendar,2016/06/23,M,30198186877060,1,CN,Yellow,Orange
472,Fabe,Bilyard,2006/07/07,M,5007666854668118,3,CZ,Violet,Goldenrod
473,Efrem,Stenner,2012/06/27,M,4903916662268249621,1,US,Mauv,Fuscia
474,Eugenia,Bestar,2008/08/13,F,36024758215568,2,CG,Green,Crimson
475,Noam,Poytheras,2009/10/07,M,5602245985383878,4,GF,Aquamarine,Puce
476,Bendite,Cammomile,2015/07/12,F,3577871127288422,3,CN,Teal,Pink
477,Jerald,Sedgman,2017/02/11,M,3587966126639951,5,ID,Violet,Maroon
478,Velma,Andres,2018/10/30,F,3567232349570695,3,ID,Aquamarine,Yellow
479,Deni,Knappitt,2005/11/27,F,633110663875517682,4,CN,Red,Pink
480,Bearnard,Lipson,2015/08/30,M,3539096269273670,4,RS,Yellow,Yellow
481,Zebadiah,Skittreal,2017/12/03,M,5602251107114191,5,CN,Teal,Mauv
482,Mufinella,Caurah,2004/06/03,F,4041590826347091,1,SE,Crimson,Purple
483,Dana,Stocking,2020/01/09,M,3579617692961986,4,CN,Red,Green
484,Iris,Heads,2008/01/25,F,6383397276617978,4,UA,Yellow,Violet
485,Georges,Kellogg,2005/12/17,M,6706366011382719,3,ID,Indigo,Orange
486,Kelsey,Wiggett,2009/06/21,M,3560947393074057,3,BF,Fuscia,Indigo
487,Farrell,Axelbee,2007/11/09,M,3567214425321359,4,NO,Turquoise,Purple
488,Mic,Tummons,2015/02/04,M,5542261624638211,5,TZ,Puce,Purple
489,Briny,Grodden,2009/07/22,F,201667959593453,5,PT,Orange,Purple
490,Pancho,Gillino,2011/09/26,M,3568499241694712,3,US,Fuscia,Mauv
491,Artie,Clegg,2008/11/26,M,3561557582766766,3,CN,Blue,Indigo
492,Harlin,Proby,2017/01/25,M,56022165951194395,5,RU,Teal,Teal
493,Mella,Bullion,2008/08/13,F,4405595681074144,3,FI,Violet,Puce
494,Raimund,Exposito,2011/01/15,M,6709319639872071,1,PH,Khaki,Khaki
495,Dodie,Kilborn,2020/05/20,F,6397978026345343,3,DJ,Crimson,Goldenrod
496,Christian,Heare,2012/04/28,F,3581077552326976,3,RU,Pink,Maroon
497,Willy,Oxterby,2012/09/06,F,3556999354718723,2,HN,Crimson,Maroon
498,Conan,Oguz,2012/12/17,M,5602252417639166,2,CN,Purple,Aquamarine
499,Arley,Oldacres,2006/02/12,M,5403456018827192,4,PH,Purple,Goldenrod
500,Thatcher,Croucher,2015/05/27,M,0604138313342923027,1,CN,Khaki,Aquamarine
501,Charmine,Pickless,2008/12/26,F,5002355123996626,3,MX,Khaki,Yellow
502,Eloisa,Bater,2019/10/10,F,503818464035297616,2,ID,Aquamarine,Khaki
503,Junina,Mackrell,2011/04/28,F,3547276532640810,3,BR,Maroon,Indigo
504,Hubey,Sanchis,2011/06/23,M,6390325150379713,1,CN,Goldenrod,Yellow
505,Douglass,Scandwright,2010/12/15,M,3557745470895385,4,MZ,Puce,Orange
506,Dannel,Wayvill,2020/07/19,M,3545472440380043,2,CN,Goldenrod,Turquoise
507,Bartholomeo,Eskell,2008/04/21,M,3570144101514479,4,FR,Turquoise,Maroon
508,Elisha,Herley,2019/06/12,M,67063095659542495,3,PH,Maroon,Goldenrod
509,Renaldo,Stubley,2006/06/19,M,346568577454001,3,ET,Crimson,Puce
510,Kerby,Sigart,2016/06/04,M,3531274770895228,1,BR,Purple,Violet
511,Neall,Nuccitelli,2013/05/18,M,3532008305856670,5,ID,Maroon,Purple
512,Irwin,Ruggen,2002/12/09,M,490395655716929192,3,CN,Blue,Fuscia
513,Jaclin,Scrogges,2019/08/31,F,50388241431601803,3,PT,Pink,Pink
514,Cherida,Menaul,2007/08/11,F,630498371013507957,5,RU,Goldenrod,Violet
515,Orly,Lovatt,2003/03/10,F,3551764121909459,2,SY,Puce,Mauv
516,Gustavo,Penniall,2012/03/19,M,5100135000508939,1,MY,Fuscia,Violet
517,Halsy,Duer,2015/06/12,M,3573101039808735,3,KZ,Mauv,Mauv
518,Job,Dunklee,2004/09/10,M,3565278760913726,3,CN,Maroon,Purple
519,Billie,Roels,2019/06/04,F,3567639156802526,4,ID,Goldenrod,Goldenrod
520,Prescott,Tettley,2004/12/15,M,5338443434599472,4,CO,Violet,Yellow
521,Genevra,McPaik,2013/02/12,F,5007665034120123,1,JP,Goldenrod,Blue
522,Elva,Gorry,2012/09/11,F,5602259623817882,5,ID,Pink,Crimson
523,Tabina,Whitington,2004/03/09,F,3544248751849888,3,ID,Purple,Orange
524,Allissa,Sulter,2013/01/18,F,5602247089065526,3,RS,Mauv,Green
525,Tobey,Mc Andrew,2015/02/22,F,3528272652418122,2,BO,Khaki,Orange
526,Magnum,Duffil,2017/06/11,M,6763998523315918,4,BM,Khaki,Orange
527,Christa,Beavis,2005/07/17,F,3585589597525921,2,CN,Crimson,Green
528,Rossy,Lethbridge,2004/02/24,M,5010120410542149,3,FR,Turquoise,Blue
529,Vivianna,Thinn,2012/10/12,F,3583178200700519,5,CN,Pink,Maroon
530,Teodorico,Dunbavin,2004/05/13,M,3546393989011030,1,UZ,Orange,Purple
531,Kimmie,Larchier,2008/06/07,F,347536131903135,2,ID,Maroon,Red
532,Spencer,Bruneton,2005/09/10,M,675981137925837991,2,KG,Purple,Fuscia
533,Camile,Sabie,2016/12/02,F,30532090656071,1,RU,Yellow,Khaki
534,Halley,MacLachlan,2006/08/14,F,3554614550071510,5,JP,Maroon,Goldenrod
535,Jeannie,Klemmt,2012/03/20,F,30576002016726,4,ID,Goldenrod,Turquoise
536,Glynda,Rushmere,2008/11/06,F,3537625040184087,4,JP,Aquamarine,Orange
537,Shea,Leggan,2004/01/18,M,675963425176709627,4,FR,Blue,Mauv
538,Urson,Whapples,2006/08/04,M,201954514850473,3,FR,Mauv,Crimson
539,Lib,Southcoat,2015/05/09,F,5100131163119564,4,RU,Goldenrod,Maroon
540,Rip,Liepins,2011/12/02,M,4175009128292911,1,CN,Yellow,Indigo
541,Dionisio,Swine,2018/11/04,M,3550841539244454,2,CZ,Green,Pink
542,Brigg,Sharper,2009/07/21,M,5602257820241385,2,MU,Goldenrod,Fuscia
543,Caril,Gooke,2017/07/12,F,4175005226027902,1,ID,Red,Indigo
544,Margaretha,Stormouth,2015/09/25,F,5641824347600295,1,CN,Turquoise,Violet
545,Cecelia,Farherty,2009/10/16,F,3580505675085484,5,CO,Maroon,Goldenrod
546,Prue,St. Ledger,2013/09/06,F,5100176998156174,5,ID,Orange,Purple
547,Sunshine,Tume,2004/03/11,F,374622987298832,5,PH,Aquamarine,Mauv
548,Brad,Hoult,2014/06/28,M,3587085006351890,1,CN,Turquoise,Crimson
549,Ameline,de Savery,2013/12/15,F,3546644470869835,1,MX,Turquoise,Green
550,Noll,Skeggs,2019/12/23,M,676274749843542695,5,JP,Red,Blue
551,Collin,Norvill,2016/09/16,M,6331109477663105388,4,CN,Yellow,Blue
552,Maudie,Antonetti,2014/05/01,F,5100174542240263,4,AR,Puce,Fuscia
553,Pamella,Menico,2003/07/22,F,3557277661193917,3,RU,Green,Mauv
554,Kelsey,Angrove,2012/07/02,M,0604082752110698673,5,PT,Fuscia,Maroon
555,Georgiana,McAuslan,2013/11/10,F,3568184720781228,4,CN,Pink,Indigo
556,Tremain,Stuart,2015/11/08,M,3547550946473012,1,UA,Purple,Crimson
557,Lorne,Axon,2003/11/10,F,3580923014138346,2,ER,Khaki,Maroon
558,Clemmie,Alves,2013/01/08,F,4175006653499929,2,BB,Red,Aquamarine
559,Allan,McAteer,2015/02/03,M,5602225148618691,1,ZA,Fuscia,Teal
560,Hillie,Hawking,2018/08/18,M,3533650323442550,2,MX,Green,Indigo
561,Lyn,Boyde,2012/04/04,M,5602211800945572,3,MN,Pink,Khaki
562,Bill,Colcomb,2013/01/05,F,30157177275064,5,PH,Khaki,Turquoise
563,Blinny,Kinney,2003/10/27,F,5100147618724790,4,ZA,Teal,Pink
564,Corney,MacColm,2019/03/20,M,3539778459825548,4,RU,Mauv,Puce
565,Sascha,Tapping,2005/03/11,M,3562141479767879,5,CN,Orange,Violet
566,Christen,Adie,2012/06/23,F,3579657811325234,2,CN,Indigo,Blue
567,Rosie,Thirsk,2007/10/10,F,4041371826464206,5,PL,Puce,Violet
568,Donica,Delmonti,2015/09/01,F,4905701341924869,2,CN,Pink,Violet
569,Cornela,Gillis,2009/12/11,F,5602237122545170,1,CN,Turquoise,Goldenrod
570,Jessey,Giovannacc@i,2011/12/27,M,337941442598743,4,CN,Crimson,Violet
571,Bronson,Gero,2016/11/28,M,5321898658999071,5,LS,Teal,Violet
572,Penny,Schoenfisch,2005/02/05,F,564182200262840060,5,ID,Violet,Teal
573,Nady,Derrell,2005/10/17,F,5610743803747514,4,RU,Green,Crimson
574,Lorens,Wigley,2003/04/09,M,3533825205791841,5,CN,Red,Purple
575,Chas,Vasyanin,2013/08/20,M,3553596198577928,1,NG,Mauv,Yellow
576,Ellerey,Rekes,2020/11/05,M,3573669848690320,5,ID,Puce,Orange
577,Malachi,Legendre,2007/07/26,M,4051850463409928,5,MX,Red,Indigo
578,Farica,Boyett,2012/07/01,F,5610356127361241,5,ID,Khaki,Green
579,Arleen,Carlino,2006/07/22,F,375941236872307,1,PH,Puce,Khaki
580,Della,Smooth,2009/09/15,F,30396245711789,2,SE,Goldenrod,Red
581,Sheeree,McMillan,2015/11/22,F,3559471453567804,2,CN,Orange,Teal
582,Misti,Koeppe,2005/08/03,F,3565755464924331,5,ID,Turquoise,Khaki
583,York,Moncrieffe,2019/12/24,M,3546014365705280,2,FR,Fuscia,Blue
584,Gwendolin,VanBrugh,2007/12/16,F,5007660765288033,2,GT,Puce,Purple
585,Oby,Willder,2003/08/09,M,493602603494862857,5,RU,Pink,Blue
586,Edgar,Jolliss,2018/04/12,M,4913250096531859,4,KW,Yellow,Green
587,Evita,Huffer,2008/01/23,F,4405479225313401,1,BY,Orange,Goldenrod
588,Say,Boerderman,2012/06/16,M,3589423043787016,4,ID,Puce,Orange
589,Enrique,Cantua,2010/01/30,M,4391157991957819,2,NG,Khaki,Fuscia
590,Alasdair,Lalevee,2018/10/31,M,6379795591112565,5,HR,Crimson,Goldenrod
591,Brant,Charnick,2010/08/22,M,56022344953653704,5,CN,Maroon,Puce
592,Arni,Strattan,2011/03/18,M,3583486754131530,3,ID,Fuscia,Maroon
593,Piotr,Vanderplas,2020/08/15,M,5518816934190979,1,SA,Indigo,Purple
594,Erich,Stang-Gjertsen,2009/01/30,M,3528573832104213,2,BT,Puce,Red
595,Edythe,Salerg,2011/08/02,F,3555933363246906,5,BS,Violet,Yellow
596,Bancroft,Morilla,2005/07/25,M,6370039727195130,2,LY,Goldenrod,Yellow
597,Dory,Fewlass,2011/04/11,F,676252437171465012,2,CV,Maroon,Yellow
598,Thorpe,Fulk,2003/03/26,M,6762106463961243823,2,CN,Mauv,Fuscia
599,Donovan,Kermit,2015/11/26,M,3560418874482797,3,CN,Blue,Fuscia
600,Vasilis,Baccus,2008/12/12,M,3559027581859842,4,ID,Blue,Pink
601,Marjie,Merry,2017/07/08,F,3568645899159412,4,MX,Red,Khaki
602,Berri,Cordova,2010/04/15,F,5306641460822662,4,SE,Teal,Indigo
603,Candie,Parker,2012/11/28,F,63045129408508036,4,CN,Turquoise,Crimson
604,Niko,McNea,2013/05/14,M,201497353927846,2,EC,Red,Puce
605,Kippie,Bedenham,2015/01/08,M,372033043945691,5,ID,Turquoise,Purple
606,Emmett,Bettesworth,2005/10/01,M,4913656935624640,2,UA,Mauv,Blue
607,Marlowe,Cave,2019/04/14,M,3556786689673263,3,KN,Goldenrod,Aquamarine
608,Finn,Sowrah,2018/08/21,M,5169614786933667,3,ID,Khaki,Blue
609,Iorgo,Conrard,2010/10/26,M,5408641339315861,1,PT,Yellow,Violet
610,Harp,Bonicelli,2020/05/21,M,3554074953531638,1,PH,Puce,Orange
611,Tam,Kinneir,2009/03/23,M,3542170346323207,2,PL,Violet,Puce
612,Glendon,Greenroa,2008/10/20,M,4026473126836924,1,CO,Teal,Turquoise
613,Addy,Justis,2007/07/17,F,3528759346129420,4,ID,Khaki,Mauv
614,Teresa,Clyma,2004/10/07,F,4917304376658035,3,ZA,Yellow,Puce
615,Elnora,Redholes,2018/05/21,F,201982265332441,5,SS,Purple,Goldenrod
616,Lance,Byrnes,2012/03/08,M,3557172258869245,3,MX,Purple,Fuscia
617,Dell,MacTrustrie,2019/10/25,M,50200609367835288,2,ID,Blue,Blue
618,Guthrey,Shakesby,2011/09/21,M,374283148367261,5,AM,Turquoise,Fuscia
619,Mellicent,Donovan,2009/09/01,F,337941466805073,2,NG,Maroon,Fuscia
620,Nichole,Mitchelhill,2003/03/14,M,3537364388364982,3,PR,Mauv,Puce
621,Hill,Corday,2006/04/08,M,3585127544306069,5,ID,Goldenrod,Blue
622,Bo,Mort,2014/05/11,M,374622700734881,2,CN,Mauv,Green
623,Cate,Feenan,2003/11/21,F,3584585324551173,5,MA,Puce,Green
624,Laure,Willoughway,2010/03/28,F,30200591318860,1,MG,Goldenrod,Turquoise
625,Minnaminnie,Walklot,2006/10/22,F,3562983309631548,1,MX,Orange,Maroon
626,Noll,Frounks,2017/07/18,M,5602224476467672,1,PH,Blue,Goldenrod
627,Mariquilla,Aspin,2018/06/22,F,5177606565655016,1,TZ,Violet,Pink
628,Vera,Grabb,2011/09/11,F,3565465232499885,1,PT,Maroon,Turquoise
629,Base,Isaac,2011/03/24,M,3548876944757919,5,RU,Indigo,Goldenrod
630,Elizabet,Yallop,2009/03/13,F,6388018113947585,4,ID,Goldenrod,Indigo
631,Agatha,Ladbrooke,2017/08/04,F,3531682601547588,4,RU,Yellow,Crimson
632,Maxim,Stollenberg,2016/01/20,M,4903869959692524,2,CN,Fuscia,Teal
633,Bonita,Hartlebury,2005/05/16,F,3536713675458512,4,CO,Indigo,Blue
634,Nicol,Raimbauld,2017/08/06,F,3588760939860881,2,BG,Teal,Orange
635,Devy,Coulton,2010/11/05,M,3547361980650253,4,NO,Orange,Green
636,Callie,Stubley,2017/11/16,F,4508180372992585,3,FR,Aquamarine,Mauv
637,Norrie,Peplaw,2010/06/16,M,3586587768327241,5,PT,Mauv,Orange
638,Miguel,Thowless,2006/10/17,M,3548604640416055,3,CN,Purple,Crimson
639,Jeffrey,Crumbleholme,2017/10/23,M,5641829129427467131,4,MN,Maroon,Mauv
640,Jean,O' Ronan,2008/12/22,M,6394020228583505,1,ID,Red,Khaki
641,Maurice,de Guise,2016/05/20,M,630476672437673127,4,JP,Aquamarine,Green
642,Dare,Jalland,2018/04/23,M,6763813566810289,1,FR,Indigo,Purple
643,Jackson,McKee,2006/10/02,M,3576789260365222,4,PL,Goldenrod,Indigo
644,Eugenius,Franc,2008/11/18,M,5602221782999703,2,CN,Red,Blue
645,Baillie,Babbs,2003/12/12,M,3563552496569974,3,PH,Maroon,Khaki
646,Gussy,Fairn,2013/05/26,F,3542310418041036,3,CN,Fuscia,Fuscia
647,Dudley,Heal,2008/04/04,M,5345118849226546,4,BR,Orange,Maroon
648,Courtney,Garnall,2014/09/15,M,3575300030850005,3,PH,Puce,Blue
649,Kendrick,Endacott,2006/07/16,M,3575081611505206,5,CN,Purple,Aquamarine
650,Mayor,Fursey,2008/09/27,M,201416043362768,4,MX,Fuscia,Purple
651,Sorcha,Dreakin,2018/04/03,F,3565597747397335,2,LU,Violet,Violet
652,Cecile,Kempson,2013/11/21,F,67096932007786807,2,PL,Orange,Yellow
653,Myca,Lyenyng,2013/03/17,M,5108759067902131,4,PH,Teal,Green
